,Ligand SMILES,IC50 (nM)
1065,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)NCc1cccc(c1)C#N)-c1ccc(F)cc1, 2.2
1068,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1ccc(cc1)C(O)=O)-c1ccccc1)-c1ccc(F)cc1, 2.2
1069,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(c1ccnn1C)S(C)(=O)=O, 2.2
1070,CC(C)c1nc(Nc2ccon2)nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O, 2.3
1071,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)Nc1ccccc1)-c1ccccn1)-c1ccc(F)cc1, 2.4
1072,CC(C)c1nc(Nc2ccnn2C)nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O, 2.4
1075,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1ccc(C)cc1)-c1ccc(F)cc1, 2.5
1076,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)c1ccnn1C, 2.5
1077,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)c1ccn(C)n1, 2.5
1078,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1cc(C)n[nH]1)-c1ccccc1)-c1ccc(F)cc1, 2.6
1079,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCCC1, 2.6
1080,CC(C)c1nc(-c2ccccc2)n(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 2.6
1081,CC(C)c1cc(C(C)C)c(OCC(O)C[C@@H](O)CC([O-])=O)c(c1)-c1ccc(F)cc1, 2.7
1082,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCN(C)CC1, 2.7
1083,C[C@@H]1C[C@H](OC(=O)C(C)(C)C)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 2.7
1084,COc1ccc(CNC(=O)c2nn(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C(C)C)-c2ccc(F)cc2)cc1, 2.8
1085,CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(=O)Nc1ccccc1)-c1ccc(F)cc1, 2.8
1088,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(-c2ccc(F)cc2)c2c1c(=O)n(-c1cccc(Cl)c1)c1ccccc21, 2.9
1089,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCCCC1, 2.9
1090,C[C@@H]1C[C@H](OC(=O)CC=C)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 2.9
1091,C[C@@H]1C[C@H](OC(=O)CC(C)=C)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 2.9
1092,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)Nc1ccc(cc1)S(N)(=O)=O)-c1ccccc1)-c1ccc(F)cc1, 2.9
1093,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(c1ncnn1C)S(C)(=O)=O, 2.9
1094,CC(C)c1cc(-c2ccc(F)cc2)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(n1)C(C)C, 3
1095,CCc1nc(cc(-c2ccc(F)cc2)c1CCC1C[C@@H](O)CC(=O)O1)-c1ccccc1, 3
1096,CC(C)n1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(-c2ccc(F)cc2)c2ccccc12, 3
1097,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(cn1-c1ccccc1)-c1ccc(F)cc1, 3
1103,[Na+].CC(C)c1cc(-c2ccc(F)cc2)c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(n1)C(C)C, 3
1104,[Na+].CC(C)c1cc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 3
1105,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@H](CC(OC(C)(C)C)O1)OCc1ccccc1)-c1ccccc1, 3
1107,CCC(C)(C)C(=O)O[C@H]1C[C@H](C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C\C, 3
1108,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C, 3
1110,O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccc(cc3)-c3ccccc3)c2nn1-c1ccc(F)cc1)CC([O-])=O, 3
1111,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(-c2ccc(F)cc2)c2c1c(=O)n(Cc1ccccc1F)c1ccccc21, 3
1112,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(c(c1C(=O)N(C)Cc1ccccc1)-c1ccccc1)-c1ccc(F)cc1, 3
1113,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@H](CC(OCC=C)O1)OCc1ccccc1)N(C)S(C)(=O)=O, 3
1114,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(N)=O)-c1ccccc1)-c1ccc(F)cc1, 3
1115,CC(C)c1nc(Nc2ncnn2C)nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O, 3
1120,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1ncc(C)[nH]1)-c1ccccc1)-c1ccc(F)cc1, 3.4
1121,O[C@H](CCn1c(nc(C(=O)NCc2ccc(F)cc2)c1C1CC1)-c1ccc(F)cc1)C[C@@H](O)CC([O-])=O, 3.4
1122,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c2CCCN(Cc3ccccc3)C(=O)c12)-c1ccc(F)cc1, 3.5
1123,CC(CC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12)C(F)(F)F, 3.5
1125,COc1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)cc1F, 3.7
1126,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1ccccc1)-c1ccccn1)-c1ccc(F)cc1, 3.7
1127,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(c1ccn(C)n1)S(C)(=O)=O, 3.7
1129,C[C@@H]1C[C@H](OC(=O)C23CC4CC(CC(C4)C2)C3)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 3.8
1130,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)NCc1ccc(F)cc1)-c1ccc(F)cc1, 3.8
1131,CCN(Cc1ccccc1)C(=O)c1nn(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1C(C)C)-c1ccc(F)cc1, 3.8
1133,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NC1CC1)-c1ccccc1)-c1ccc(F)cc1, 3.8
1134,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1ccccc1)-c1ccc(F)cc1, 3.8
1135,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1cccc(F)c1)-c1ccc(F)cc1, 3.9
1138,CC(C)OC1C[C@@H](C[C@@H](CCn2c(C(C)C)c(C(=O)Nc3ccccc3)c(c2-c2ccc(F)cc2)-c2ccccc2)O1)OCc1ccccc1, 4
1140,CC(C)c1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)C1CCCCC1, 4
1142,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O, 4
1144,CC[C@H](C)C(=O)O[C@H]1C[C@H](C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C\C, 4
1145,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@H](CC(OC(C)(C)C)O1)OCc1ccccc1)N(C)S(C)(=O)=O, 4
1146,CC(C)c1c(O)c(-c2ccc(F)cc2)c(C(C)C)c(OC[C@@H](O)C[C@@H](O)CC([O-])=O)c1C(C)C, 4.1
1147,O[C@H](C[C@H](O)\C=C\c1c(nc2ccccc2c1-c1ccc(F)cc1)C1CC1)CC(O)=O, 4.1
1148,Cc1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)cc1F, 4.1
1149,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1cccc(F)c1)-c1ccc(F)cc1, 4.1
1150,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(c1nnnn1C)S(C)(=O)=O, 4.2
1153,CC(C)c1sc(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)-c1ccccc1, 4.4
1154,[Na+].O[C@H](C[C@H](O)\C=C\c1c(Cl)cc(Cl)cc1-c1ccc(F)cc1)CC([O-])=O, 4.5
1155,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCOCC1, 4.5
1156,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1ccccc1)-c1ccc(F)cc1, 4.7
1157,C[C@@H]1C[C@H](OCc2ccc(F)cc2)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 4.7
1158,CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(=O)NCc1cnc(C)cn1)-c1ccc(F)cc1, 4.7
1159,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(-c2ccc(F)cc2)c2c1c(=O)n(Cc1ccc(F)cc1)c1ccccc21, 4.7
1160,CC(C)c1c(nn(c1OC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccc(F)cc1)C(=O)N1CCC[C@@H](C1)c1ccccc1, 4.8
1162,CC(C)c1nc(C(C)C)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(n1)-c1ccc(F)cc1, 4.80
1163,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C#N)-c1ccccn1)-c1ccc(F)cc1, 4.8
1164,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1ccccc1F)-c1ccc(F)cc1, 4.8
1165,Cc1ccccc1CNC(=O)c1nc(-c2ccc(F)cc2)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1C1CC1, 4.9
1166,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1cccc(C)c1)-c1ccc(F)cc1, 4.9
1167,CN(C)S(=O)(=O)c1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)cc1, 4.9
1168,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)S(=O)(=O)Nc1ccc(cc1)S(N)(=O)=O, 4.9
1170,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1-c1ccc(F)cc1, 5.00
1172,Cc1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)n1-c1ccccc1)-c1ccc(F)cc1, 5
1174,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)n1-c1ccccc1)-c1ccc(F)cc1, 5.00
1175,CC(C)c1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 5
1176,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)[C@@H](OC(=O)NCc2ccccc2)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 5
1178,CC(C)c1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1cc(C)ccc1C, 5.00
1179,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 5
1181,CCC(C)(C)C(=O)O[C@H]1C[C@](C)(C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C\C, 5
1182,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@H](O)CC([O-])=O)[C@@]12C, 5
1183,COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1ccc(F)cc1)-c1ccncc1)C(C)C, 5
1184,CC[C@H](C)C(=O)O[C@H]1C[C@@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC([O-])=O)[C@@H]12, 5
1185,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1ccccc1)-c1ccc(F)cc1, 5.2
1186,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(N)=O)-c1ccccn1)-c1ccc(F)cc1, 5.3
1187,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1cccc(Cl)c1)-c1ccc(F)cc1, 5.4
1188,CC(C)CC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 5.4
1189,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)S(C)(=O)=O, 5.4
1191,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1ccc(F)c(F)c1)-c1ccc(F)cc1, 5.7
1192,CC(C)c1nc(c(-c2ccc(F)cc2)n1\C=C\[C@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 5.7
1193,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)S(=O)(=O)Nc1ccc(cc1)C(N)=O, 5.8
1194,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1ccccc1)-c1ccc(F)cc1, 5.9
1195,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)[C@@H](OP(=O)(c2ccccc2)c2ccccc2)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 6
1196,CC(C)c1c(CCC(O)C[C@@H](O)CC([O-])=O)c(cn1-c1ccccc1)-c1ccc(F)cc1, 6
1197,CC(C)c1cc(Sc2ccc(F)cc2)cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O, 6
1199,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)[C@@H](OCCc2ccccc2)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 6
1200,CC(C)c1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)n1-c1ccccc1)-c1ccc(F)cc1, 6
1201,CCC(C)(C)C(=O)O[C@H]1C[C@](C)(CSc2ccccc2)O[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 6
1202,Cc1cc(ccc1F)-c1cc(Cl)cc(C)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 6
1203,CC(C)n1cc(c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1C)-c1ccc(F)cc1, 6
1204,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)S(=O)(=O)N(C)C, 6.1
1205,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N1CCCCC1c1ccccc1)-c1ccc(F)cc1, 6.1
1206,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1cccc(C)c1)-c1ccc(F)cc1, 6.1
1207,CC(C)c1nc(c(-c2ccc(F)cc2)n1\C=C\[C@H](O)C[C@H](O)CC([O-])=O)-c1ccc(F)cc1, 6.15
1208,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1ccccc1)-c1ccc(F)cc1, 6.2
1210,CC(C)c1c(nn(c1OC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccc(F)cc1)C(=O)N(C)CC1CCCCC1, 6.2
1211,COc1ccc(cc1)-c1sc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1, 6.3
1212,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N(C)C, 6.5
1213,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1ccc(F)cc1)-c1ccc(F)cc1, 6.6
1215,COc1cccc(NC(=O)c2c(c(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n2C(C)C)-c2ccc(F)cc2)-c2ccc(F)cc2)c1, 6.6
1216,CCC(C)(C)C(=O)O[C@H]1C[C@@](C)(CSc2ccccc2)O[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 6.6
1217,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1ccc(Cl)cc1)-c1ccc(F)cc1, 6.7
1218,CC(C)c1nc(Nc2nsc(n2)-c2ccccc2)nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O, 6.9
1220,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1ccc(F)cc1F)-c1ccc(F)cc1, 7.0
1221,COCc1cccc(CNC(=O)c2nn(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C(C)C)-c2ccc(F)cc2)c1, 7.0
1222,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 7
1223,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)c1ccon1, 7.0
1224,CC(C)c1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(cn1-c1ccccc1)-c1ccc(F)cc1, 7
1225,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 7.00
1230,COc1ccccc1CNC(=O)c1nc(-c2ccc(F)cc2)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1C1CC1, 7
1231,CC[C@H](C)C(=O)O[C@H]1C[C@H](C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C\Cc1ccccc1, 7
1233,CCc1cc(cc(CC)c1F)-c1c(nc(C(C)C)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 7
1234,[Na+].CC(C)c1nn(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)-c1cnccn1, 7.00
1235,CC(C)c1cc(c(-c2cccc(Cl)c2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 7.15
1236,CC(C)c1cc(c(-c2cccc(Br)c2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 7.160
1237,[Na+].CC(C)c1nn(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)-c1ccccc1, 7.2
1238,NC(=O)c1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)cc1, 7.2
1239,Cc1cccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)c1, 7.2
1240,CC(C)c1nc(c(-c2cc(C)cc(C)c2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 7.25
1241,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N1CCCC1c1ccccc1)-c1ccc(F)cc1, 7.3
1242,[Na+].CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 7.5
1243,CC(C)c1nc(c(-c2cc(C)c(F)c(C)c2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 7.52
1245,CC(C)c1cc(c(-c2ccccc2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 7.6
